Date;Close
20191125;66.592499
20191126;66.072502
20191127;66.959999
20191129;66.8125
20191202;66.040001
20191203;64.862503
20191204;65.434998
20191205;66.394997
20191206;67.677498
20191209;66.730003
20191210;67.120003
20191211;67.692497
20191212;67.864998
20191213;68.787498
20191216;69.964996
20191217;70.102501
20191218;69.934998
20191219;70.004997
20191220;69.860001
20191223;71
20191224;71.067497
20191226;72.477501
20191227;72.449997
20191230;72.879997
20191231;73.412498
20200102;75.087502
20200103;74.357498
20200106;74.949997
20200107;74.597504
20200108;75.797501
20200109;77.407501
20200110;77.582497
20200113;79.239998
20200114;78.169998
20200115;77.834999
20200116;78.809998
20200117;79.682503
20200121;79.142502
20200122;79.425003
20200123;79.807503
20200124;79.577499
20200127;77.237503
20200128;79.422501
20200129;81.084999
20200130;80.967499
20200131;77.377502
20200203;77.165001
20200204;79.712502
20200205;80.362503
20200206;81.302498
20200207;80.0075
20200210;80.387497
20200211;79.902496
20200212;81.800003
20200213;81.217499
20200214;81.237503
20200218;79.75
20200219;80.904999
20200220;80.074997
20200221;78.262497
20200224;74.544998
20200225;72.019997
20200226;73.162498
20200227;68.379997
20200228;68.339996
20200302;74.702499
20200303;72.330002
20200304;75.684998
20200305;73.230003
20200306;72.2575
20200309;66.542503
20200310;71.334999
20200311;68.857498
20200312;62.057499
20200313;69.4925
20200316;60.552502
20200317;63.215
20200318;61.6675
20200319;61.195
20200320;57.310001
20200323;56.092499
20200324;61.720001
20200325;61.380001
20200326;64.610001
20200327;61.935001
20200330;63.702499
20200331;63.572498
20200401;60.227501
20200402;61.232498
20200403;60.352501
20200406;65.6175
20200407;64.857498
20200408;66.517502
20200409;66.997498
20200413;68.3125
20200414;71.762497
20200415;71.107498
20200416;71.672501
20200417;70.699997
20200420;69.232498
20200421;67.092499
20200422;69.025002
20200423;68.7575
20200424;70.7425
20200427;70.792503
20200428;69.644997
20200429;71.932503
20200430;73.449997
20200501;72.267502
20200504;73.290001
20200505;74.389999
20200506;75.157501
20200507;75.934998
20200508;77.532501
20200511;78.752502
20200512;77.852501
20200513;76.912498
20200514;77.385002
20200515;76.927498
20200518;78.739998
20200519;78.285004
20200520;79.807503
20200521;79.212502
20200522;79.722504
20200526;79.182503
20200527;79.527496
20200528;79.5625
20200529;79.485001
20200601;80.462502
20200602;80.834999
20200603;81.279999
20200604;80.580002
20200605;82.875
20200608;83.364998
20200609;85.997498
20200610;88.209999
20200611;83.974998
20200612;84.699997
20200615;85.747498
20200616;88.019997
20200617;87.897499
20200618;87.932503
20200619;87.43
20200622;89.717499
20200623;91.6325
20200624;90.014999
20200625;91.209999
20200626;88.407501
20200629;90.445
20200630;91.199997
20200701;91.027496
20200702;91.027496
20200706;93.462502
20200707;93.172501
20200708;95.342499
20200709;95.752502
20200710;95.919998
20200713;95.477501
20200714;97.057503
20200715;97.724998
20200716;96.522499
20200717;96.327499
20200720;98.357498
20200721;97
20200722;97.272499
20200723;92.845001
20200724;92.614998
20200727;94.809998
20200728;93.252502
20200729;95.040001
20200730;96.190002
20200731;106.260002
20200803;108.9375
20200804;109.665001
20200805;110.0625
20200806;113.902496
20200807;111.112503
20200810;112.727501
20200811;109.375
20200812;113.010002
20200813;115.010002
20200814;114.907501
20200817;114.607498
20200818;115.5625
20200819;115.707497
20200820;118.275002
20200821;124.370003
20200824;125.857498
20200825;124.824997
20200826;126.522499
20200827;125.010002
20200828;124.807503
20200831;129.039993
20200901;134.179993
20200902;131.399994
20200903;120.879997
20200904;120.959999
20200908;112.82
20200909;117.32
20200910;113.489998
20200911;112
20200914;115.360001
20200915;115.540001
20200916;112.129997
20200917;110.339996
20200918;106.839996
20200921;110.080002
20200922;111.809998
20200923;107.120003
20200924;108.220001
20200925;112.279999
20200928;114.959999
20200929;114.089996
20200930;115.809998
20201001;116.790001
20201002;113.019997
20201005;116.5
20201006;113.160004
20201007;115.080002
20201008;114.970001
20201009;116.970001
20201012;124.400002
20201013;121.099998
20201014;121.190002
20201015;120.709999
20201016;119.019997
20201019;115.980003
20201020;117.510002
20201021;116.870003
20201022;115.75
20201023;115.040001
20201026;115.050003
20201027;116.599998
20201028;111.199997
20201029;115.32
20201030;108.860001
20201102;108.769997
20201103;110.440002
20201104;114.949997
20201105;119.029999
20201106;118.690002
20201109;116.32
20201110;115.970001
20201111;119.489998
20201112;119.209999
20201113;119.260002
20201116;120.300003
20201117;119.389999
20201118;118.029999
20201119;118.639999
20201120;117.339996
20201123;113.849998
20201124;115.169998
